number_of_features: 4
f1: sepal_length
f2: sepal_width
f3: petal_length
f4: petal_width

number_of_classes: 3
c1: setosa
c2: versicolor
c3: virginica

number_of_samples: 150
f1	f2	f3	f4	class
5.7	2.5	5.0	2.0	c3
5.8	2.8	5.1	2.4	c3
6.4	3.2	5.3	2.3	c3
6.5	3.0	5.5	1.8	c3
7.7	3.8	6.7	2.2	c3
7.7	2.6	6.9	2.3	c3
6.0	2.2	5.0	1.5	c3
6.9	3.2	5.7	2.3	c3
5.6	2.8	4.9	2.0	c3
7.7	2.8	6.7	2.0	c3
6.3	2.7	4.9	1.8	c3
6.7	3.3	5.7	2.1	c3
7.2	3.2	6.0	1.8	c3
6.2	2.8	4.8	1.8	c3
6.1	3.0	4.9	1.8	c3
6.4	2.8	5.6	2.1	c3
7.2	3.0	5.8	1.6	c3
7.4	2.8	6.1	1.9	c3
7.9	3.8	6.4	2.0	c3
6.4	2.8	5.6	2.2	c3
6.3	2.8	5.1	1.5	c3
6.1	2.6	5.6	1.4	c3
7.7	3.0	6.1	2.3	c3
6.3	3.4	5.6	2.4	c3
6.4	3.1	5.5	1.8	c3
6.0	3.0	4.8	1.8	c3
6.9	3.1	5.4	2.1	c3
6.7	3.1	5.6	2.4	c3
6.9	3.1	5.1	2.3	c3
5.8	2.7	5.1	1.9	c3
6.8	3.2	5.9	2.3	c3
6.7	3.3	5.7	2.5	c3
6.7	3.0	5.2	2.3	c3
6.3	2.5	5.0	1.9	c3
6.5	3.0	5.2	2.0	c3
6.2	3.4	5.4	2.3	c3
5.9	3.0	5.1	1.8	c3

finished
