number_of_features: 2
f1: sensor reading 1
f2: sensor reading 2
				
number_of_classes: 4
c1: Slight-Right-Turn
c2: Sharp-Right-Turn
c3: Move-Forward
c4: Slight-Left-Turn
				
number_of_samples: 5456
f1	f2	class
0.789	0.87	c2
0.789	0.865	c2
0.788	0.772	c2
0.787	0.759	c2
0.786	0.753	c2
0.785	0.751	c2
0.785	0.749	c2
0.784	0.746	c2
0.787	0.744	c2
1.815	0.746	c3
0.81	0.381	c2
0.789	0.376	c2
0.785	0.374	c2
0.785	0.374	c2
0.785	0.373	c2
0.785	0.373	c2
0.785	0.372	c2
0.785	0.372	c2
0.785	0.371	c2
0.788	0.37	c2
0.788	0.37	c2
0.788	0.372	c2
0.791	0.751	c2
0.798	0.743	c2
0.811	0.836	c2
1.824	0.835	c3
1.821	0.371	c1
1.817	0.363	c1
1.816	0.357	c1
1.814	0.357	c1
1.813	0.357	c1
1.813	0.357	c1
1.81	0.357	c1
1.81	0.356	c1
1.81	0.356	c1
0.963	0.356	c1
1.81	0.356	c1
0.957	0.357	c1
1.799	0.357	c1
0.937	0.358	c1
0.93	0.362	c1
0.919	0.747	c3
0.912	0.746	c3
0.905	0.742	c3
0.9	0.738	c2
0.898	0.734	c2
1.727	0.383	c1
2.715	0.374	c1
2.094	0.374	c1
2.693	0.378	c1
2.681	0.386	c1
2.67	0.7	c3
2.66	0.697	c3
2.651	0.693	c3
2.644	0.69	c3
2.634	0.687	c3
2.622	0.683	c3
2.618	0.68	c3
2.595	0.676	c3
1.567	0.672	c3
1.557	0.668	c3
1.537	0.664	c3
2.528	0.66	c3
1.499	0.655	c3
1.478	0.651	c3
1.459	0.647	c3
1.441	0.538	c3
1.422	0.64	c3
1.407	0.636	c3
1.388	0.632	c3
1.369	0.628	c3
1.35	0.624	c3
1.331	0.62	c3
1.309	0.616	c3
1.294	0.612	c3
1.275	0.608	c3
2.249	0.604	c3
2.23	0.599	c3
2.21	0.595	c3
2.191	0.589	c3
2.171	0.585	c3
2.151	0.583	c3
2.131	0.58	c3
2.111	0.576	c3
2.092	0.572	c3
2.072	0.568	c3
2.053	0.564	c3
2.034	0.561	c3
2.014	0.557	c3
1.994	0.553	c3
1.975	0.549	c3
1.955	0.545	c3
1.935	0.541	c3
1.916	0.537	c3
1.897	0.533	c3
1.878	0.53	c3
1.859	0.526	c3
1.84	0.522	c3
1.822	0.518	c3
0.584	0.515	c2
0.577	0.511	c2
0.577	0.507	c2
0.573	0.504	c2
0.79	0.5	c2
0.777	0.497	c2
0.765	0.494	c2
0.76	0.491	c2
0.761	0.49	c2
0.769	0.49	c2
0.77	0.489	c2
0.773	0.49	c2
0.773	0.489	c2
0.77	0.489	c2
0.773	0.488	c2
1.501	0.487	c1
1.495	0.487	c1
1.494	0.486	c1
1.491	0.485	c1
1.496	0.485	c1
1.702	0.485	c1
1.492	0.485	c1
1.491	0.485	c1
1.492	0.485	c1
1.694	0.484	c1
1.689	0.483	c1
1.682	0.483	c1
1.675	0.482	c1
1.666	0.481	c1
1.656	0.48	c1
0.583	0.479	c2
1.635	0.478	c1
1.624	0.478	c1
1.613	0.478	c1
1.603	0.477	c1
1.593	0.477	c1
1.584	0.478	c1
1.575	0.477	c1
1.567	0.478	c1
1.559	0.478	c1
1.55	0.478	c1
1.541	0.479	c1
1.531	0.48	c1
1.521	0.48	c1
1.511	0.481	c1
1.316	0.482	c1
1.304	0.483	c1
1.296	0.484	c1
1.291	0.485	c1
1.283	0.486	c1
1.278	0.487	c1
1.273	0.488	c1
1.432	0.49	c1
1.422	0.491	c1
1.412	0.493	c1
1.402	0.494	c1
1.392	0.496	c3
1.382	0.498	c3
1.372	0.499	c3
1.361	0.501	c3
1.349	0.503	c3
1.336	0.506	c3
1.322	0.509	c3
1.308	0.513	c3
1.292	0.516	c3
1.275	0.521	c3
1.259	0.526	c3
1.241	0.531	c3
1.223	0.536	c3
1.205	0.541	c3
1.186	0.547	c3
1.168	0.553	c3
1.15	0.559	c3
1.131	0.565	c3
1.113	0.571	c3
1.094	0.578	c3
1.075	0.584	c3
1.056	0.591	c3
1.037	0.597	c3
1.018	0.604	c3
0.998	0.608	c3
0.979	0.615	c3
0.959	0.623	c3
0.94	0.631	c3
0.923	0.638	c3
0.904	0.645	c3
0.882	0.652	c2
0.864	0.658	c2
0.846	0.665	c2
0.827	0.671	c2
0.809	0.678	c2
0.792	0.684	c2
0.776	0.689	c2
0.767	0.69	c2
0.767	0.687	c2
0.769	0.686	c2
0.77	0.685	c2
0.77	0.685	c2
0.769	0.685	c2
0.769	0.684	c2
0.769	0.684	c2
0.769	0.683	c2
0.768	0.683	c2
0.768	0.682	c2
0.768	0.681	c2
0.769	0.68	c2
0.765	0.682	c2
0.763	0.684	c2
0.762	0.683	c2
0.761	0.681	c2
0.76	0.677	c2
0.759	0.676	c2
0.758	0.679	c2
0.757	0.679	c2
0.756	0.682	c2
0.755	0.689	c2
0.762	0.72	c2
0.769	0.783	c2
0.772	0.685	c2
0.758	0.779	c2
0.758	0.779	c2
0.758	0.776	c2
0.761	0.851	c2
0.764	0.713	c2
0.768	0.753	c2
1.566	0.749	c3
1.567	0.745	c3
1.568	0.711	c3
1.57	0.741	c3
1.572	0.74	c3
1.567	0.742	c3
1.56	0.724	c3
1.551	0.734	c3
1.54	0.726	c3
1.527	0.72	c3
1.513	0.714	c3
1.497	0.707	c3
1.481	0.7	c3
1.464	0.693	c3
1.447	0.686	c3
1.429	0.678	c3
1.411	0.671	c3
1.392	0.664	c3
1.374	0.656	c3
1.355	0.648	c3
1.335	0.644	c3
1.316	0.638	c3
1.297	0.63	c3
1.278	0.624	c3
1.262	0.617	c3
1.24	0.61	c3
1.223	0.604	c3
1.2	0.597	c3
1.18	0.587	c3
1.161	0.58	c3
1.141	0.574	c3
1.121	0.566	c3
1.102	0.562	c3
1.083	0.556	c3
1.065	0.549	c3
1.046	0.543	c3
1.028	0.537	c3
1.01	0.53	c3
0.992	0.524	c3
0.974	0.517	c3
0.956	0.512	c3
0.938	0.505	c3
0.69	0.498	c2
0.671	0.489	c2
0.619	0.483	c2
0.607	0.477	c2
0.593	0.473	c2
0.58	0.465	c2
0.568	0.462	c2
0.821	0.462	c2
0.824	0.458	c2
0.826	0.455	c2
0.825	0.454	c2
0.825	0.454	c2
0.825	0.453	c2
0.822	0.452	c2
0.507	0.452	c2
0.507	0.451	c2
0.507	0.451	c2
0.508	0.45	c2
0.508	0.45	c2
0.508	0.449	c2
0.508	0.448	c2
0.508	0.448	c2
0.512	0.447	c2
0.823	0.447	c2
0.823	0.446	c2
0.823	0.445	c2
0.823	0.443	c2
0.823	0.438	c2
0.824	0.44	c2
0.824	0.438	c2
0.829	0.436	c2
0.83	0.435	c2
0.829	0.433	c2
0.826	0.431	c2
0.826	0.428	c2
0.825	0.426	c2
0.825	0.423	c2
0.825	0.421	c2
0.828	0.419	c2
0.828	0.417	c2
0.829	0.416	c2
0.831	0.414	c2
0.826	0.411	c2
0.825	0.408	c2
0.824	0.405	c2
0.82	0.403	c2
0.82	0.4	c2
0.822	0.399	c2
0.821	0.397	c2
0.824	0.396	c2
0.824	0.395	c2
0.819	0.407	c2
0.813	0.399	c2
0.811	0.395	c2
0.81	0.393	c2
0.805	0.393	c2
0.808	0.396	c2
0.806	0.423	c2
0.809	0.431	c2
0.811	0.435	c2
0.904	0.403	c1
0.804	0.404	c2
0.803	0.405	c2
0.802	0.427	c2
0.802	0.431	c2
0.805	0.478	c2
0.802	0.477	c2
0.805	0.477	c2
0.805	0.479	c2
0.805	0.479	c2
0.808	0.478	c2
0.822	0.49	c2
0.825	0.937	c2
3.338	0.423	c1
3.335	0.424	c1
3.335	0.425	c1
3.335	0.422	c1
3.335	0.425	c1
3.335	0.422	c1
3.335	0.425	c1
3.335	0.425	c1
3.335	0.425	c1
3.334	0.427	c1
2.935	0.426	c1
2.923	0.431	c1
3.322	0.436	c1
3.316	0.443	c1
3.309	0.454	c1
3.301	0.463	c1
3.29	0.479	c1
3.281	0.761	c3
3.273	0.756	c3
3.267	0.751	c3
3.258	0.747	c3
3.25	0.746	c3
3.237	0.741	c3
3.22	0.735	c3
3.205	0.729	c3
3.189	0.723	c3
3.172	0.716	c3
3.16	0.713	c3
3.138	0.706	c3
3.082	0.71	c3
0.94	0.694	c3
0.94	0.694	c3
3.023	0.684	c3
3.001	0.682	c3
2.981	0.656	c3
2.965	0.646	c3
2.659	0.65	c3
2.641	0.634	c3
2.651	0.625	c3
2.885	0.623	c3
2.866	0.614	c3
2.581	0.613	c3
2.828	0.607	c3
2.549	0.599	c3
2.544	0.597	c3
2.505	0.593	c3
2.471	0.589	c3
2.466	0.589	c3
2.715	0.587	c3
2.696	0.585	c3
2.281	0.606	c3
2.261	0.598	c3
2.248	0.593	c3
2.63	0.584	c3
2.604	0.597	c3
2.585	0.574	c3
2.565	0.568	c3
2.546	0.559	c3
2.527	0.553	c3
2.508	0.547	c3
2.486	0.54	c3
2.468	0.534	c3
2.448	0.528	c3
2.432	0.52	c3
2.41	0.518	c3
2.394	0.525	c3
2.372	0.501	c3
2.353	0.497	c3
2.338	0.491	c1
2.316	0.481	c1
2.297	0.476	c1
1.914	0.471	c1
1.889	0.464	c1
1.877	0.463	c1
2.225	0.461	c1
2.209	0.46	c1
2.194	0.461	c1
2.18	0.458	c1
2.166	0.457	c1
1.877	0.515	c3
1.879	0.474	c1
2.13	0.471	c1
2.12	0.467	c1
1.838	0.46	c1
1.827	0.46	c1
2.09	0.464	c1
2.081	0.458	c1
1.84	0.458	c1
1.832	0.468	c1
1.791	0.567	c3
1.78	0.598	c3
1.776	0.537	c3
1.839	0.562	c3
2.025	0.578	c3
2.011	3.134	c4
2	0.515	c3
1.987	0.489	c1
1.974	0.495	c3
1.96	1.434	c4
1.945	1.426	c4
1.93	1.422	c4
1.914	1.415	c4
1.897	1.413	c4
1.881	1.407	c4
1.865	1.406	c4
1.848	1.404	c4
1.831	1.402	c4
1.815	1.403	c4
1.798	1.398	c4
1.781	1.396	c4
1.764	1.397	c4
1.748	1.395	c4
1.732	1.393	c4
1.647	1.394	c4
1.631	1.406	c4
1.628	1.405	c4
1.612	1.39	c4
1.596	1.388	c4
1.557	1.387	c4
1.559	1.386	c4
1.581	1.387	c4
1.463	0.715	c3
1.458	0.709	c3
1.37	0.723	c3
1.367	0.724	c3
1.429	0.73	c3
1.417	0.798	c3
1.347	0.848	c3
1.332	2.171	c4
1.323	2.177	c4
1.312	2.185	c4
1.3	2.197	c4
1.284	2.208	c4
1.274	2.224	c4
1.261	2.233	c4
1.251	2.241	c4
1.242	2.252	c4
1.226	2.261	c4
1.213	2.267	c4
1.197	0.862	c3
1.182	2.282	c4
1.17	0.868	c3
1.158	2.295	c4
1.144	2.302	c4
1.133	0.819	c3
1.118	0.821	c3
1.103	0.824	c3
1.089	0.826	c3
1.074	0.828	c3
1.059	0.83	c3
1.042	0.828	c3
1.025	0.823	c3
1.007	0.797	c3
0.985	0.792	c3
0.967	0.795	c3
0.947	0.794	c3
0.928	0.797	c3
0.908	0.8	c3
0.889	0.804	c2
0.869	0.808	c2
0.849	0.812	c2
0.83	0.813	c2
0.811	0.817	c2
0.793	0.822	c2
0.78	0.824	c2
0.778	0.825	c2
0.784	0.823	c2
0.785	0.819	c2
0.786	0.819	c2
0.786	0.818	c2
0.786	0.817	c2
0.785	0.817	c2
0.785	0.816	c2
0.785	0.816	c2
0.785	0.815	c2
0.785	0.814	c2
0.784	0.813	c2
0.78	0.812	c2
0.78	0.811	c2
0.779	0.81	c2
0.779	0.808	c2
0.778	0.807	c2
0.777	0.805	c2
0.78	0.808	c2
0.779	0.813	c2
0.779	0.825	c2
0.779	0.817	c2
0.778	0.812	c2
0.776	0.808	c2
0.771	0.803	c2
0.77	0.803	c2
0.769	0.802	c2
0.768	0.828	c2
0.767	0.878	c2
0.769	0.863	c2
0.769	0.871	c2
0.769	0.82	c2
0.778	0.8	c2
0.803	0.792	c2
0.774	0.789	c2
0.767	0.788	c2
0.766	0.782	c2
0.769	0.791	c2
0.776	0.767	c2
0.831	0.761	c2
0.792	0.758	c2
0.854	0.755	c2
0.894	0.755	c2
1.182	0.752	c3
0.892	0.746	c2
1.346	0.743	c3
1.349	0.741	c3
1.349	0.737	c3
1.348	0.737	c3
1.346	0.741	c3
1.342	0.737	c3
1.34	0.74	c3
1.339	0.736	c3
1.338	0.735	c3
1.341	0.738	c3
1.337	0.738	c3
1.34	0.738	c3
1.336	0.738	c3
1.332	0.741	c3
1.325	0.74	c3
1.316	0.732	c3
1.305	0.742	c3
1.292	0.726	c3
1.278	0.72	c3
1.265	0.714	c3
1.248	0.708	c3
1.231	0.705	c3
1.213	0.698	c3
1.195	0.692	c3
1.176	0.702	c3
1.157	0.681	c3
1.138	0.68	c3
1.119	0.682	c3
1.1	0.722	c3
0.943	0.654	c3
0.923	0.65	c3
0.899	0.641	c2
0.881	0.669	c2
0.864	0.627	c2
0.847	0.623	c2
0.83	0.619	c2
0.816	0.613	c2
0.803	0.601	c2
0.818	0.589	c2
0.917	0.586	c3
0.92	0.586	c3
0.921	0.586	c3
0.921	0.586	c3
0.919	0.586	c3
0.917	0.585	c3
0.915	0.584	c3
0.913	0.584	c3
0.912	0.584	c3
0.911	0.584	c3
0.91	0.583	c3
0.908	0.583	c3
0.907	0.582	c3
0.906	0.582	c3
0.904	0.581	c3
0.902	0.581	c3
0.9	0.581	c2
0.899	0.581	c2
0.898	0.58	c2
0.897	0.58	c2
0.896	0.579	c2
0.895	0.579	c2
0.895	0.578	c2
0.895	0.578	c2
0.896	0.577	c2
0.896	0.576	c2
0.896	0.575	c2
0.896	0.574	c2
0.897	0.572	c2
0.897	0.57	c2
0.898	0.569	c2
0.899	0.567	c2
0.9	0.566	c2
0.899	0.564	c2
0.898	0.563	c2
0.897	0.56	c2
0.897	0.557	c2
0.896	0.555	c2
0.896	0.553	c2
0.896	0.551	c2
0.896	0.549	c2
0.896	0.548	c2
0.895	0.546	c2
0.894	0.544	c2
0.893	0.541	c2
0.892	0.538	c2
0.891	0.535	c2
0.891	0.533	c2
0.891	0.532	c2
0.894	0.53	c2
0.894	0.529	c2
0.892	0.53	c2
0.887	0.524	c2
0.886	0.526	c2
0.884	0.532	c2
0.882	0.531	c2
0.881	0.527	c2
0.88	0.527	c2
0.88	0.526	c2
0.879	0.526	c2
0.882	0.535	c2
0.881	0.914	c2
1.325	0.907	c4
1.761	0.902	c4
0.88	0.708	c2
0.879	0.699	c2
0.878	0.696	c2
0.878	0.697	c2
0.878	0.7	c2
0.878	0.695	c2
0.878	0.694	c2
0.881	0.693	c2
0.881	0.692	c2
0.887	0.691	c2
0.888	0.69	c2
0.891	0.692	c2
0.904	0.711	c3
1.744	0.541	c3
1.75	0.542	c3
1.753	0.867	c3
1.751	0.867	c3
1.745	0.551	c3
1.741	0.863	c3
1.732	0.567	c3
1.721	0.571	c3
1.707	0.583	c3
0.96	0.842	c3
1.677	0.835	c3
0.975	0.827	c3
1.642	0.819	c3
1.627	0.811	c3
0.948	0.802	c3
0.887	0.794	c2
0.923	0.714	c3
0.866	0.774	c2
0.873	0.768	c2
0.851	0.759	c2
0.837	0.751	c2
0.824	0.742	c2
0.817	0.735	c2
1.459	0.725	c3
0.863	0.722	c2
1.462	0.722	c3
1.462	0.723	c3
1.46	0.722	c3
1.459	0.721	c3
1.458	0.721	c3
1.457	0.72	c3
1.456	0.719	c3
1.454	0.719	c3
1.453	0.719	c3
0.921	0.718	c3
0.92	0.718	c3
0.914	0.717	c3
0.912	0.716	c3
0.913	0.714	c3
1.436	0.711	c3
1.428	0.707	c3
1.417	0.702	c3
1.407	0.697	c3
1.392	0.691	c3
1.376	0.685	c3
1.359	0.678	c3
1.341	0.67	c3
1.325	0.663	c3
0.819	0.656	c2
1.284	0.649	c3
1.264	0.641	c3
1.247	0.633	c3
1.225	0.625	c3
1.205	0.617	c3
1.187	0.61	c3
1.166	0.602	c3
1.149	0.595	c3
1.132	0.589	c3
1.115	0.582	c3
1.098	0.575	c3
1.078	0.568	c3
1.064	0.562	c3
0.733	0.555	c2
0.715	0.55	c2
1.01	0.543	c3
0.992	0.54	c3
0.689	0.53	c2
0.712	0.524	c2
0.692	0.516	c2
0.676	0.512	c2
0.651	0.515	c2
0.693	0.498	c2
0.712	0.496	c2
0.91	0.495	c3
0.907	0.495	c3
0.906	0.494	c1
0.905	0.494	c1
0.904	0.493	c1
0.9	0.491	c2
0.772	0.488	c2
0.766	0.486	c2
0.885	0.484	c2
0.878	0.482	c2
0.874	0.48	c2
0.866	0.478	c2
0.863	0.477	c2
0.86	0.476	c2
0.86	0.475	c2
0.859	0.474	c2
0.857	0.473	c2
0.856	0.472	c2
0.855	0.472	c2
0.852	0.471	c2
0.851	0.471	c2
0.848	0.469	c2
0.85	0.468	c2
0.846	0.466	c2
0.848	0.464	c2
0.851	0.461	c2
0.85	0.459	c2
0.853	0.457	c2
1.493	0.455	c1
1.492	0.453	c1
1.2	0.451	c1
1.199	0.449	c1
1.197	0.448	c1
1.196	0.448	c1
1.195	0.448	c1
1.195	0.448	c1
1.196	0.448	c1
1.195	0.448	c1
1.195	0.448	c1
1.194	0.448	c1
1.193	0.449	c1
1.191	0.449	c1
1.191	0.45	c1
1.19	0.451	c1
1.57	0.453	c1
1.206	0.454	c1
1.558	0.455	c1
1.549	0.456	c1
1.54	0.457	c1
1.534	0.459	c1
1.553	0.461	c1
1.54	0.463	c1
1.504	0.466	c1
1.493	0.468	c1
1.476	0.471	c1
1.467	0.474	c1
1.488	0.476	c1
1.463	0.479	c1
1.468	0.482	c1
1.459	0.485	c1
1.424	0.488	c1
1.414	0.491	c1
1.428	0.494	c1
1.418	0.498	c3
1.38	0.502	c3
1.37	0.505	c3
1.36	0.509	c3
1.347	0.513	c3
1.338	0.519	c3
1.325	0.525	c3
1.31	0.532	c3
1.295	0.54	c3
1.279	0.548	c3
1.297	0.556	c3
1.284	0.564	c3
1.27	0.574	c3
1.257	0.582	c3
1.374	0.591	c3
1.364	0.601	c3
1.351	0.61	c3
1.341	0.619	c3
1.329	0.628	c3
1.319	0.638	c3
1.31	0.647	c3
1.301	0.657	c3
1.292	0.666	c3
1.511	0.676	c3
1.495	0.685	c3
1.476	0.698	c3
1.451	0.705	c3
1.434	0.715	c3
1.419	0.724	c3
0.94	0.727	c3
0.917	0.73	c3
0.897	0.736	c2
0.878	0.743	c2
0.862	0.75	c2
0.846	0.757	c2
0.831	0.765	c2
0.816	0.769	c2
0.804	0.779	c2
0.795	0.783	c2
0.794	0.782	c2
0.799	0.78	c2
0.799	0.78	c2
0.799	0.783	c2
0.799	0.782	c2
0.803	0.786	c2
1.257	0.785	c3
1.257	0.788	c3
1.264	0.811	c3
1.273	0.807	c3
1.415	0.812	c3
1.275	0.817	c3
1.273	0.82	c3
1.4	0.828	c3
1.389	0.802	c3
1.223	0.806	c3
1.362	0.814	c3
1.19	0.827	c3
1.172	0.837	c3
1.156	0.85	c3
1.137	0.868	c3
1.122	0.875	c3
1.106	0.9	c3
1.086	0.899	c3
1.07	0.904	c4
1.052	0.904	c4
1.036	0.908	c4
1.018	0.908	c4
1.001	0.906	c4
0.983	0.91	c4
0.967	0.946	c4
0.954	0.988	c4
0.938	0.911	c4
0.922	0.909	c4
0.907	0.911	c4
0.892	0.912	c2
0.878	0.914	c2
0.861	0.919	c2
0.849	0.918	c2
0.837	0.92	c2
0.827	0.922	c2
0.825	0.921	c2
0.827	0.916	c2
0.829	0.914	c2
0.829	0.914	c2
0.829	0.914	c2
0.829	0.914	c2
0.828	0.913	c2
0.831	0.912	c2
0.831	0.911	c2
0.826	0.897	c2
0.825	0.897	c2
0.823	0.893	c2
0.821	0.888	c2
0.82	1.001	c2
0.819	0.904	c2
0.817	0.897	c2
0.816	0.499	c2
0.816	0.489	c2
0.815	0.484	c2
0.817	0.482	c2
0.858	0.483	c2
0.86	0.502	c2
0.818	0.837	c2
0.817	0.833	c2
0.817	0.482	c2
0.82	0.472	c2
0.827	0.469	c2
0.844	0.467	c2
0.917	0.468	c1
0.916	0.802	c3
0.925	0.799	c3
1.713	0.796	c3
1.713	0.795	c3
1.711	0.795	c3
1.705	0.795	c3
1.699	0.793	c3
1.689	0.789	c3
1.681	0.785	c3
1.668	0.481	c1
1.653	0.476	c1
1.636	0.478	c1
