number_of_features: 4
f1: sensor reading 1
f2: sensor reading 2
f3: sensor reading 3
f4: sensor reading 4
				
number_of_classes: 4
c1: Slight-Right-Turn
c2: Sharp-Right-Turn
c3: Move-Forward
c4: Slight-Left-Turn
				
number_of_samples: 5456
f1	f2	f3	f4	class
1.567	0.459	1.82	0.554	c1
1.208	0.461	1.783	1.006	c1
1.553	0.462	1.839	1.013	c1
1.191	0.464	1.84	1.021	c1
1.535	0.465	1.805	0.916	c1
1.528	0.466	1.802	0.921	c1
1.519	0.468	1.785	0.929	c1
1.512	0.47	1.782	0.938	c1
1.416	0.471	1.775	0.946	c1
1.522	0.473	1.521	0.954	c1
1.475	0.476	1.482	0.963	c1
1.487	0.478	1.53	0.971	c1
1.473	0.48	1.485	1	c1
1.472	0.483	1.468	1.006	c1
1.459	0.486	1.461	1.012	c1
1.462	0.489	1.451	1.021	c1
1.34	0.491	1.441	1.243	c1
1.335	0.494	1.44	1.252	c1
1.421	0.497	1.428	0.828	c3
1.421	0.5	1.426	0.84	c3
1.414	0.504	1.506	0.849	c3
1.404	0.507	1.429	1.289	c3
1.393	0.511	1.421	1.297	c3
1.381	0.515	1.42	1.312	c3
1.368	0.52	1.472	1.326	c3
1.353	0.526	1.579	0.903	c3
1.309	0.531	1.581	1.291	c3
1.293	0.538	1.415	0.934	c3
1.273	0.545	1.608	0.935	c3
1.287	0.551	1.507	0.955	c3
1.269	0.559	1.503	0.976	c3
1.22	0.566	1.625	1.007	c3
1.202	0.574	1.622	1.025	c3
1.183	0.581	1.577	1.482	c3
1.165	0.589	1.526	1.502	c3
1.143	0.597	1.56	1.525	c3
1.128	0.604	1.527	1.544	c3
1.106	0.612	1.535	0.951	c3
1.09	0.619	1.544	0.976	c3
1.068	0.627	1.557	0.997	c3
1.049	0.635	1.766	1.622	c3
1.03	0.642	1.786	1.642	c3
1.012	0.65	1.884	1.567	c3
0.994	0.657	1.611	1.575	c3
0.975	0.664	2.005	1.602	c3
0.957	0.672	1.655	1.545	c3
0.942	0.679	2.099	1.645	c3
1.173	0.686	3.014	1.585	c3
1.16	0.695	3.007	1.685	c3
1.148	0.702	2.195	1.621	c3
1.139	0.707	2.198	1.824	c3
1.128	0.702	2.294	1.571	c3
1.126	0.704	2.274	1.594	c3
1.473	0.71	2.283	1.269	c3
1.454	0.713	2.286	1.287	c3
1.434	0.719	2.956	1.734	c3
1.412	0.726	2.949	1.732	c3
1.063	0.733	2.192	1.751	c3
1.05	0.741	2.308	1.749	c3
1.04	0.748	2.928	1.765	c3
1.03	0.756	2.303	1.273	c3
1.021	0.763	2.318	1.291	c3
1.011	0.771	2.323	1.827	c3
0.642	0.778	2.331	1.846	c2
0.622	0.786	2.343	1.869	c2
0.606	0.793	2.006	1.885	c2
0.589	0.801	2.014	1.908	c2
0.574	0.805	2.367	1.93	c2
0.559	0.807	2.375	1.951	c2
0.547	0.797	2.86	1.398	c2
0.541	0.786	2.373	1.919	c2
0.549	0.784	2.37	1.93	c2
0.983	0.78	2.373	1.701	c3
0.984	0.78	2.372	1.7	c3
0.983	0.78	2.378	1.602	c3
0.983	0.78	2.381	1.701	c3
0.981	0.78	2.387	1.703	c3
0.98	0.78	2.391	1.606	c3
0.979	0.779	2.388	1.61	c3
0.978	0.779	2.385	1.614	c3
0.978	0.779	2.388	1.704	c3
0.977	0.779	2.388	1.708	c3
0.976	0.778	2.392	1.709	c3
0.974	0.778	2.392	1.71	c3
0.972	0.777	2.391	1.616	c3
0.968	0.777	2.39	1.624	c3
0.961	0.776	2.393	1.628	c3
0.952	0.775	2.387	1.642	c3
0.937	0.773	2.392	2.247	c3
0.924	0.775	2.398	1.669	c3
0.91	0.774	2.402	1.685	c3
0.895	0.773	2.411	1.679	c2
0.88	0.779	2.418	2.315	c2
0.864	0.779	2.428	1.758	c2
0.847	0.779	2.104	2.351	c2
0.832	0.778	2.798	5	c2
0.817	0.775	2.12	5	c2
0.804	0.771	2.784	5	c2
0.793	0.771	2.779	1.272	c2
0.792	0.769	2.479	1.272	c2
0.789	0.768	2.783	1.272	c2
0.791	0.767	2.785	1.283	c2
0.792	0.766	2.786	1.278	c2
0.792	0.766	2.787	1.277	c2
0.792	0.765	2.787	1.593	c2
0.791	0.765	2.787	1.278	c2
0.79	0.764	2.788	1.596	c2
0.791	0.766	2.789	1.599	c2
0.79	0.766	2.789	5	c2
0.79	0.769	2.789	1.172	c2
0.789	0.872	2.217	1.169	c2
0.789	0.87	2.211	1.172	c2
0.789	0.865	2.189	1.141	c2
0.788	0.772	2.185	5	c2
0.787	0.759	2.194	5	c2
0.786	0.753	2.14	4.301	c2
0.785	0.751	2.134	0.922	c2
0.785	0.749	2.128	4.285	c2
0.784	0.746	2.137	0.916	c2
0.787	0.744	2.809	5	c2
1.815	0.746	2.217	0.926	c3
0.81	0.381	2.212	0.908	c2
0.789	0.376	2.208	0.904	c2
0.785	0.374	2.212	0.92	c2
0.785	0.374	2.213	0.897	c2
0.785	0.373	2.217	0.896	c2
0.785	0.373	2.149	0.895	c2
0.785	0.372	2.137	0.894	c2
0.785	0.372	2.222	0.893	c2
0.785	0.371	2.212	0.889	c2
0.788	0.37	2.18	0.885	c2
0.788	0.37	2.139	0.888	c2
0.788	0.372	2.139	0.884	c2
0.791	0.751	2.146	0.884	c2
0.798	0.743	2.149	0.886	c2
0.811	0.836	2.639	0.886	c2
1.824	0.835	2.15	0.874	c3
1.821	0.371	2.158	0.836	c1
1.817	0.363	2.239	0.832	c1
1.816	0.357	2.24	0.831	c1
1.814	0.357	2.244	0.833	c1
1.813	0.357	2.644	0.834	c1
1.813	0.357	2.641	0.834	c1
1.81	0.357	2.164	0.834	c1
1.81	0.356	2.236	0.834	c1
1.81	0.356	2.173	0.834	c1
0.963	0.356	2.239	0.835	c1
1.81	0.356	2.239	0.837	c1
0.957	0.357	2.648	0.841	c1
1.799	0.357	2.246	0.847	c1
0.937	0.358	2.234	0.852	c1
0.93	0.362	2.159	0.86	c1
0.919	0.747	2.241	0.868	c3
0.912	0.746	2.663	0.893	c3
0.905	0.742	2.16	0.882	c3
0.9	0.738	2.157	0.95	c2
0.898	0.734	2.153	0.899	c2
1.727	0.383	2.149	0.901	c1
2.715	0.374	2.144	0.906	c1
2.094	0.374	2.144	0.914	c1
2.693	0.378	2.182	0.922	c1
2.681	0.386	2.163	0.93	c1
2.67	0.7	2.707	0.937	c3
2.66	0.697	2.094	0.945	c3
2.651	0.693	2.094	0.952	c3
2.644	0.69	2.084	0.955	c3
2.634	0.687	2.085	0.962	c3
2.622	0.683	2.077	0.97	c3
2.618	0.68	2.098	0.98	c3
2.595	0.676	2.09	0.917	c3
1.567	0.672	2.084	0.928	c3
1.557	0.668	2.043	0.94	c3
1.537	0.664	2.072	0.955	c3
2.528	0.66	2.066	0.972	c3
1.499	0.655	2.059	0.991	c3
1.478	0.651	2.059	1.008	c3
1.459	0.647	1.945	1.026	c3
1.441	0.538	1.973	1.044	c3
1.422	0.64	2.027	1.062	c3
1.407	0.636	2.035	1.084	c3
1.388	0.632	2.025	1.103	c3
1.369	0.628	2.785	0.59	c3
1.35	0.624	2.795	0.601	c3
1.331	0.62	2.055	0.614	c3
1.309	0.616	2.052	0.63	c3
1.294	0.612	2.058	0.642	c3
1.275	0.608	2.027	0.657	c3
2.249	0.604	2.195	0.676	c3
2.23	0.599	2.143	0.691	c3
2.21	0.595	2.166	0.706	c3
2.191	0.589	2.828	0.718	c3
2.171	0.585	2.145	0.737	c3
2.151	0.583	2.141	0.752	c3
2.131	0.58	2.147	0.768	c3
2.111	0.576	2.835	0.783	c3
2.092	0.572	2.152	0.798	c3
2.072	0.568	2.148	0.812	c3
2.053	0.564	2.18	0.828	c3
2.034	0.561	2.148	0.843	c3
2.014	0.557	2.154	0.858	c3
1.994	0.553	1.918	0.874	c3
1.975	0.549	2.167	0.889	c3
1.955	0.545	2.165	0.904	c3
1.935	0.541	2.175	0.919	c3
1.916	0.537	1.909	0.934	c3
1.897	0.533	1.874	0.949	c3
1.878	0.53	1.865	0.964	c3
1.859	0.526	1.857	0.979	c3
1.84	0.522	1.856	0.994	c3
1.822	0.518	1.855	1.008	c3
0.584	0.515	1.854	1.023	c2
0.577	0.511	1.856	1.038	c2
0.577	0.507	1.855	1.053	c2
0.573	0.504	1.852	1.067	c2
0.79	0.5	1.851	1.08	c2
0.777	0.497	1.854	1.093	c2
0.765	0.494	1.854	1.104	c2
0.76	0.491	1.852	1.109	c2
0.761	0.49	1.754	1.145	c2
0.769	0.49	1.754	1.117	c2
0.77	0.489	1.758	1.768	c2
0.773	0.49	1.758	1.13	c2
0.773	0.489	1.758	1.134	c2
0.77	0.489	1.76	1.141	c2
0.773	0.488	1.761	1.103	c2
1.501	0.487	1.763	1.095	c1
1.495	0.487	1.764	1.094	c1
1.494	0.486	1.766	1.093	c1
1.491	0.485	1.771	1.093	c1
1.496	0.485	1.873	1.09	c1
1.702	0.485	1.772	1.094	c1
1.492	0.485	1.768	1.095	c1
1.491	0.485	1.767	1.095	c1
1.492	0.485	1.872	1.097	c1
1.694	0.484	1.765	1.1	c1
1.689	0.483	1.866	1.104	c1
1.682	0.483	1.865	1.106	c1
1.675	0.482	1.999	1.111	c1
1.666	0.481	1.993	1.118	c1
1.656	0.48	1.984	1.126	c1
0.583	0.479	1.981	1.135	c2
1.635	0.478	1.718	1.144	c1
1.624	0.478	1.711	1.153	c1
1.613	0.478	1.701	1.163	c1
1.603	0.477	1.695	1.172	c1
1.593	0.477	1.959	1.181	c1
1.584	0.478	1.865	1.189	c1
1.575	0.477	1.854	1.196	c1
1.567	0.478	1.852	1.204	c1
1.559	0.478	1.85	1.212	c1
1.55	0.478	1.842	1.22	c1
1.541	0.479	1.843	1.228	c1
1.531	0.48	1.841	1.237	c1
1.521	0.48	1.836	1.25	c1
1.511	0.481	1.834	1.259	c1
1.316	0.482	1.829	1.27	c1
1.304	0.483	1.827	1.279	c1
1.296	0.484	1.825	1.288	c1
1.291	0.485	1.819	1.298	c1
1.283	0.486	1.817	1.309	c1
1.278	0.487	1.815	1.318	c1
1.273	0.488	1.812	1.327	c1
1.432	0.49	1.81	1.337	c1
1.422	0.491	1.808	1.347	c1
1.412	0.493	1.805	1.356	c1
1.402	0.494	1.8	0.589	c1
1.392	0.496	1.798	1.374	c3
1.382	0.498	1.795	1.383	c3
1.372	0.499	1.793	1.393	c3
1.361	0.501	1.79	1.403	c3
1.349	0.503	1.787	0.884	c3
1.336	0.506	1.783	0.895	c3
1.322	0.509	1.779	0.904	c3
1.308	0.513	1.774	0.918	c3
1.292	0.516	1.769	0.932	c3
1.275	0.521	1.764	0.948	c3
1.259	0.526	1.758	0.964	c3
1.241	0.531	1.753	0.981	c3
1.223	0.536	1.747	0.998	c3
1.205	0.541	1.74	1.015	c3
1.186	0.547	1.733	1.034	c3
1.168	0.553	1.726	1.052	c3
1.15	0.559	1.719	1.074	c3
1.131	0.565	1.712	1.095	c3
1.113	0.571	1.705	0.644	c3
1.094	0.578	1.698	0.65	c3
1.075	0.584	1.69	1.697	c3
1.056	0.591	1.679	0.661	c3
1.037	0.597	1.646	1.737	c3
1.018	0.604	1.631	1.757	c3
0.998	0.608	1.622	1.777	c3
0.979	0.615	1.609	1.801	c3
0.959	0.623	1.601	0.71	c3
0.94	0.631	1.592	1.839	c3
0.923	0.638	1.584	1.862	c3
0.904	0.645	1.572	1.337	c3
0.882	0.652	1.564	1.353	c2
0.864	0.658	1.556	0.723	c2
0.846	0.665	1.549	0.729	c2
0.827	0.671	1.542	0.736	c2
0.809	0.678	1.534	0.743	c2
0.792	0.684	1.528	0.749	c2
0.776	0.689	1.522	0.753	c2
0.767	0.69	1.52	0.755	c2
0.767	0.687	1.523	0.751	c2
0.769	0.686	1.525	0.745	c2
0.77	0.685	1.525	0.744	c2
0.77	0.685	1.525	0.744	c2
0.769	0.685	1.529	0.743	c2
0.769	0.684	1.529	0.745	c2
0.769	0.684	1.53	0.78	c2
0.769	0.683	1.531	0.748	c2
0.768	0.683	1.533	1.452	c2
0.768	0.682	1.534	0.776	c2
0.768	0.681	1.536	0.773	c2
0.769	0.68	1.537	0.762	c2
0.765	0.682	1.539	0.721	c2
0.763	0.684	1.54	0.714	c2
0.762	0.683	1.538	0.711	c2
0.761	0.681	1.54	0.704	c2
0.76	0.677	1.542	0.701	c2
0.759	0.676	1.547	0.7	c2
0.758	0.679	1.549	0.694	c2
0.757	0.679	1.551	0.701	c2
0.756	0.682	1.556	0.685	c2
0.755	0.689	1.56	0.678	c2
0.762	0.72	1.566	0.674	c2
0.769	0.783	1.564	0.668	c2
0.772	0.685	1.564	0.665	c2
0.758	0.779	1.566	0.662	c2
0.758	0.779	1.572	0.66	c2
0.758	0.776	1.579	0.658	c2
0.761	0.851	5	0.663	c2
0.764	0.713	3.251	0.65	c2
0.768	0.753	3.25	0.648	c2
1.566	0.749	1.618	0.645	c3
1.567	0.745	1.622	0.643	c3
1.568	0.711	1.623	0.641	c3
1.57	0.741	1.626	0.64	c3
1.572	0.74	1.626	0.642	c3
1.567	0.742	1.621	0.646	c3
1.56	0.724	1.613	0.652	c3
1.551	0.734	1.601	0.662	c3
1.54	0.726	1.592	0.673	c3
1.527	0.72	1.58	0.685	c3
1.513	0.714	1.566	0.699	c3
1.497	0.707	1.554	0.715	c3
1.481	0.7	3.298	0.731	c3
1.464	0.693	3.315	0.748	c3
1.447	0.686	3.326	0.765	c3
1.429	0.678	1.493	0.783	c3
1.411	0.671	1.473	0.801	c3
1.392	0.664	3.363	0.819	c3
1.374	0.656	4.051	0.838	c3
1.355	0.648	3.07	0.857	c3
1.335	0.644	3.067	0.876	c3
1.316	0.638	3.084	0.895	c3
1.297	0.63	3.078	0.914	c3
1.278	0.624	3.079	0.933	c3
1.262	0.617	3.08	0.952	c3
1.24	0.61	3.092	0.971	c3
1.223	0.604	3.093	0.991	c3
1.2	0.597	3.107	1.01	c3
1.18	0.587	3.11	1.03	c3
1.161	0.58	3.146	1.05	c3
1.141	0.574	3.125	1.069	c3
1.121	0.566	3.142	1.089	c3
1.102	0.562	5	1.108	c3
1.083	0.556	3.158	1.127	c3
1.065	0.549	1.131	1.145	c3
1.046	0.543	3.17	1.163	c3
1.028	0.537	3.167	1.181	c3
1.01	0.53	3.18	1.199	c3
0.992	0.524	3.173	1.217	c3
0.974	0.517	1.041	1.235	c3
0.956	0.512	1.022	1.253	c3
0.938	0.505	1.004	1.271	c3
0.69	0.498	0.983	1.289	c2
0.671	0.489	0.964	1.307	c2
0.619	0.483	0.95	1.325	c2
0.607	0.477	0.929	1.343	c2
0.593	0.473	0.909	1.36	c2
0.58	0.465	0.896	1.375	c2
0.568	0.462	0.89	1.387	c2
0.821	0.462	3.257	1.388	c2
0.824	0.458	3.251	1.385	c2
0.826	0.455	3.252	1.384	c2
0.825	0.454	3.252	1.384	c2
0.825	0.454	3.252	1.384	c2
0.825	0.453	2.649	1.384	c2
0.822	0.452	3.248	1.384	c2
0.507	0.452	3.254	1.384	c2
0.507	0.451	3.251	1.384	c2
0.507	0.451	3.251	1.384	c2
0.508	0.45	3.248	1.383	c2
0.508	0.45	2.64	1.386	c2
0.508	0.449	3.246	1.385	c2
0.508	0.448	3.246	1.385	c2
0.508	0.448	2.638	1.385	c2
0.512	0.447	2.642	1.384	c2
0.823	0.447	2.641	1.381	c2
0.823	0.446	2.641	1.38	c2
0.823	0.445	3.248	1.38	c2
0.823	0.443	3.256	1.38	c2
0.823	0.438	3.249	1.379	c2
0.824	0.44	2.67	1.38	c2
0.824	0.438	0.895	1.38	c2
0.829	0.436	2.639	1.383	c2
0.83	0.435	2.637	1.383	c2
0.829	0.433	2.638	1.383	c2
0.826	0.431	2.639	1.383	c2
0.826	0.428	2.64	1.394	c2
0.825	0.426	2.642	1.41	c2
0.825	0.423	2.644	1.387	c2
0.825	0.421	2.646	1.388	c2
0.828	0.419	2.648	1.389	c2
0.828	0.417	1.479	1.39	c2
0.829	0.416	2.654	1.395	c2
0.831	0.414	2.655	0.769	c2
0.826	0.411	2.656	0.768	c2
0.825	0.408	1.449	0.766	c2
0.824	0.405	1.44	0.766	c2
0.82	0.403	1.441	0.47	c2
0.82	0.4	2.663	0.461	c2
0.822	0.399	2.669	0.452	c2
0.821	0.397	1.484	0.444	c2
0.824	0.396	1.473	0.449	c2
0.824	0.395	1.604	0.438	c2
0.819	0.407	1.46	0.467	c2
0.813	0.399	1.426	0.432	c2
0.811	0.395	1.422	0.425	c2
0.81	0.393	1.425	0.421	c2
0.805	0.393	1.421	0.438	c2
0.808	0.396	1.446	0.428	c2
0.806	0.423	1.44	0.425	c2
0.809	0.431	1.43	0.408	c2
0.811	0.435	1.423	0.394	c2
0.904	0.403	1.417	0.388	c1
0.804	0.404	1.417	0.386	c2
0.803	0.405	1.417	0.384	c2
0.802	0.427	1.418	0.382	c2
0.802	0.431	1.42	0.381	c2
0.805	0.478	1.419	0.381	c2
0.802	0.477	1.422	0.38	c2
0.805	0.477	1.422	0.38	c2
0.805	0.479	1.437	0.379	c2
0.805	0.479	1.431	0.378	c2
0.808	0.478	1.428	0.38	c2
0.822	0.49	1.424	0.377	c2
0.825	0.937	1.425	0.372	c2
3.338	0.423	1.42	0.371	c1
3.335	0.424	1.418	0.369	c1
3.335	0.425	1.421	0.367	c1
3.335	0.422	1.421	0.368	c1
3.335	0.425	1.421	0.368	c1
3.335	0.422	1.421	0.368	c1
3.335	0.425	1.421	0.367	c1
3.335	0.425	1.421	0.367	c1
3.335	0.425	1.421	0.368	c1
3.334	0.427	1.422	0.368	c1
2.935	0.426	1.424	0.37	c1
2.923	0.431	1.426	0.375	c1
3.322	0.436	1.429	0.38	c1
3.316	0.443	1.432	0.386	c1
3.309	0.454	1.436	0.393	c1
3.301	0.463	1.441	0.401	c1
3.29	0.479	1.445	0.409	c1
3.281	0.761	1.45	0.418	c3
3.273	0.756	1.455	0.426	c3
3.267	0.751	1.46	0.435	c3
3.258	0.747	1.465	0.445	c3
3.25	0.746	1.469	0.455	c3
3.237	0.741	1.475	0.467	c3
3.22	0.735	1.481	0.481	c3
3.205	0.729	1.487	0.496	c3
3.189	0.723	1.494	0.512	c3
3.172	0.716	1.501	0.529	c3
3.16	0.713	1.508	0.547	c3
3.138	0.706	1.516	0.566	c3
3.082	0.71	1.537	0.622	c3
0.94	0.694	1.544	0.642	c3
0.94	0.694	1.551	0.661	c3
3.023	0.684	1.558	0.68	c3
3.001	0.682	1.565	0.7	c3
2.981	0.656	1.572	0.719	c3
2.965	0.646	1.579	0.738	c3
2.659	0.65	1.585	0.757	c3
2.641	0.634	1.592	0.776	c3
2.651	0.625	1.599	0.795	c3
2.885	0.623	1.606	0.814	c3
2.866	0.614	1.613	0.833	c3
2.581	0.613	1.619	0.852	c3
2.828	0.607	1.626	0.871	c3
2.549	0.599	1.633	0.889	c3
2.544	0.597	1.639	0.908	c3
2.505	0.593	1.646	0.927	c3
2.471	0.589	1.652	0.946	c3
2.466	0.589	1.659	0.964	c3
2.715	0.587	1.669	0.982	c3
2.696	0.585	1.673	1.001	c3
2.281	0.606	1.679	1.02	c3
2.261	0.598	1.686	1.038	c3
2.248	0.593	1.693	1.056	c3
2.63	0.584	1.7	1.074	c3
